"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACAT1",0.403933333333335,10.5137333333333,4.75615702380136,0.000582273282733002,0.00223715524418469,-1.14150234537552
"ZNF181",0.707483333333335,7.864765,4.75575966306305,0.000582647992056577,0.00223813834028015,-1.14217660675755
"PPP1CB",0.374900000000004,11.9842833333333,4.75349289411634,0.000584790405537059,0.00224590997102059,-1.14602334811073
"USP20",0.348243333333333,8.299545,4.75261396699049,0.000585623344688658,0.00224865037183816,-1.14751507267984
"ZNRF3",-0.380433333333334,8.33054333333333,-4.75155536370993,0.000586628217387104,0.00225204970368298,-1.1493118730117
"PAXX",-0.382526666666667,10.1488033333333,-4.75123233797668,0.000586935208967815,0.00225276904945992,-1.14986018238284
"CDK2AP1",-0.385066666666667,13.3543666666667,-4.75083508783072,0.000587312972582765,0.00225375968329743,-1.15053449930889
"ACADS",0.42112,8.66228333333333,4.74997411283302,0.000588132592608216,0.00225644515159567,-1.1519960387185
"GABARAPL1",0.36473333333333,10.4246,4.74956492521609,0.000588522547921663,0.0022574813986877,-1.15269068330178
"PAK2",-0.409396666666668,10.2136683333333,-4.74842832877826,0.000589607151869115,0.00226118124583647,-1.15462029985125
"BTN2A3P",0.394506666666667,7.12993,4.74821618775123,0.000589809821654994,0.00226149800102813,-1.15498047256728
"LINC02072",-0.371623333333332,6.045755,-4.74728262970773,0.000590702572055046,0.00226446005334515,-1.15656553239531
"INKA2",-0.332703333333333,7.86968166666667,-4.74546026865646,0.000592449375701895,0.00227069424948504,-1.15965997548839
"TNFRSF14",0.376610000000001,7.96032833333333,4.74491816282254,0.000592970053989175,0.00227222746629341,-1.16058057273317
"C9orf3",0.394743333333334,8.301735,4.74434765993935,0.000593518527187001,0.00227386654618389,-1.16154943285368
"ZSCAN26",0.4694,8.45423333333333,4.74365935273632,0.000594180966729179,0.00227557215819116,-1.16271840863243
"ZNF227",0.382203333333333,9.47196166666667,4.74363401553211,0.000594205366570252,0.00227557215819116,-1.16276144079827
"ZBTB26",0.354253333333334,9.13499333333333,4.74309655829983,0.000594723188867725,0.00227679831029595,-1.16367426542163
"NOP10",-0.339266666666667,11.6927,-4.74305077757812,0.000594767319032393,0.00227679831029595,-1.16375202167309
"TMX1",-0.336033333333335,11.32235,-4.74225619132052,0.000595533807043125,0.0022792691976936,-1.16510162782706
"TTBK2",0.383073333333334,9.29418,4.73921336546978,0.000598478661435136,0.0022896573231471,-1.17027059641732
"MKRN3",0.485646666666668,8.03204,4.73920045765567,0.000598491186251098,0.0022896573231471,-1.17029252587479
"TRIM5",0.573240000000002,9.24848,4.73870626817057,0.000598970919813573,0.00229102727533892,-1.171132134155
"IER5",-0.35197,8.944255,-4.73736118724625,0.000600278706142221,0.00229548482293306,-1.17341752632352
"GTF3C5",-0.337166666666667,10.2877166666667,-4.73725706163632,0.000600380069967518,0.00229548482293306,-1.17359445279239
"HSPA13",-0.496616666666661,9.39051833333333,-4.73702039199432,0.00060061052930576,0.00229589988003748,-1.17399659827693
"PTTG3P",-0.343823333333332,6.11641833333333,-4.73667109603368,0.000600950829756323,0.00229673456323673,-1.17459012937026
"ULK1",0.390840000000003,9.40005333333333,4.73515368296957,0.000602431522215568,0.00230192641294542,-1.177168725061
"BBS10",0.488023333333336,9.764575,4.73414420021237,0.000603418702884406,0.00230496108166566,-1.17888433395201
"HK1",-0.358270000000001,9.695085,-4.7340912973734,0.000603470483895793,0.00230496108166566,-1.17897424543326
"ITGB3BP",-0.374163333333335,9.96595166666667,-4.73324188464223,0.000604302525211717,0.00230767107863696,-1.18041791964298
"SNORD45C",-0.433049999999998,9.72612166666667,-4.72985343847797,0.000607633709441296,0.00231992160624718,-1.18617785959376
"HMGCS1",-0.388869999999999,9.16634166666667,-4.72960204075116,0.000607881627737237,0.00232039776587011,-1.18660526121921
"MSANTD2",-0.450346666666665,10.1757933333333,-4.72692358369145,0.000610529633611294,0.0023300334588521,-1.19115939442533
"OR2J3",-0.482756666666667,4.68458166666667,-4.72675591136461,0.000610695802969907,0.002330195452418,-1.19144451418242
"PCDHA2",0.446223333333334,8.43263833333333,4.72500436419951,0.000612434498331148,0.00233635635842999,-1.19442315410578
"SLC26A11",0.33024,8.57671666666667,4.72434108193046,0.000613094273184553,0.00233839966406599,-1.19555121516014
"RPP38",-0.344143333333326,9.797305,-4.72372081573312,0.000613711936325905,0.0023402815567447,-1.19660616679296
"ARHGAP44",-0.334803333333334,7.117885,-4.72339364488002,0.00061403799794556,0.00234105094196492,-1.19716263961835
"CBR4",0.410383333333334,8.940915,4.72271631103198,0.000614713614959969,0.00234315244366648,-1.19831473370957
"S100A16",-0.328766666666667,11.7160833333333,-4.71985288686436,0.000617578437711509,0.00235359617479938,-1.20318582850097
"ITGAV",0.382866666666665,10.6685333333333,4.71940470417242,0.000618028109536905,0.00235483338357639,-1.20394834293396
"CRIPAK",0.417626666666669,8.6865,4.71905511521588,0.000618379099242249,0.00235569416568134,-1.20454313235663
"DDX27",-0.35599,10.180105,-4.71746631404722,0.000619976911680026,0.00236130336796393,-1.20724650275163
"OR51I2",-0.360966666666667,6.35392333333333,-4.71712964712414,0.000620316045621879,0.00236211734800697,-1.20781938677686
"MT2A",-0.319699999999999,13.8110166666667,-4.71679335759412,0.00062065499430685,0.00236293029366792,-1.20839164254872
"MEOX2",-0.349166666666664,11.8390833333333,-4.71587975912835,0.00062157680125683,0.00236548928596764,-1.20994636128008
"RGS19",-0.38458,9.90474333333333,-4.71587823419152,0.00062157834109875,0.00236548928596764,-1.20994895643146
"HS6ST3",0.746459999999999,7.87869,4.71419345251919,0.000623282044918176,0.00237149374424019,-1.21281630802882
"DNAJB11",-0.389200000000001,9.89149,-4.71205895954203,0.000625447570410891,0.00237925258354246,-1.2164495305085
"RNF165",-0.380916666666667,7.13386833333333,-4.71073315442223,0.000626796635806264,0.0023836791244471,-1.21870652879467
"SMAD9",0.555753333333333,7.78396333333333,4.71066671111141,0.000626864325336439,0.0023836791244471,-1.21881964494879
"GDE1",0.360700000000001,9.87271666666667,4.71045761185785,0.000627077396681315,0.00238400801152521,-1.21917562869405
"TRIM29",0.524520000000003,7.73502,4.70883667060683,0.000628731717080656,0.0023898149665988,-1.22193540347289
"TPM1",-0.319799999999997,10.7447333333333,-4.70687411303327,0.000630740836711188,0.00239696790125474,-1.22527723775451
"TXNL4A",-0.359266666666672,10.9464,-4.70636666863635,0.000631261418718736,0.00239846228770399,-1.2261413887608
"RPL13AP20",0.333166666666671,12.6281166666667,4.70469759758826,0.000632976892971259,0.0024044951194475,-1.22898395154478
"ALPG",0.408670000000004,8.31459833333333,4.70351983942013,0.000634190346317677,0.0024086188712537,-1.23098997452065
"ZNF197",0.353836666666668,7.74734166666667,4.7002554971501,0.000637566433892147,0.00242095286611385,-1.23655087228189
"LINC01341",0.329046666666665,6.44512666666667,4.69904141378681,0.000638826897526254,0.00242525010844779,-1.23861943023636
"SCARNA9L",0.492113333333334,8.92838,4.69794613732483,0.000639966265152191,0.00242908598103111,-1.24048571965474
"SECTM1",0.504523333333333,9.09071166666667,4.69740423625364,0.000640530771220601,0.00243073877597598,-1.24140914289355
"CLSTN1",0.375933333333336,10.4121,4.69685200881386,0.000641106573385114,0.00243187557255802,-1.24235019970917
"HNF1A",-0.353706666666667,7.25967666666667,-4.69684133568921,0.000641117707510825,0.00243187557255802,-1.24236838826533
"MRPS33",0.40043,9.10180166666667,4.69674549554584,0.000641217696364187,0.00243187557255802,-1.24253171442848
"SNX19",0.398049999999996,10.167375,4.69609716914684,0.000641894518408848,0.00243395235750196,-1.24363659062851
"STPG1",0.39526,9.34393,4.69576439777243,0.000642242207811423,0.0024347805438648,-1.24420371873939
"PLPP5",0.404266666666668,9.60767,4.69464790804007,0.000643410197670101,0.00243871758158959,-1.24610660374956
"YTHDF2",-0.333499999999995,10.8922166666667,-4.69323049797458,0.000644896208486753,0.00244343120364622,-1.2485225808854
"CMBL",0.505953333333336,10.22059,4.69321424475447,0.000644913269264381,0.00244343120364622,-1.2485502859434
"PLPPR2",0.418836666666666,10.0098483333333,4.69246446099781,0.000645700823188431,0.00244584846060614,-1.24982839410475
"OGFR",-0.315056666666665,9.83408833333333,-4.69235964381251,0.000645811001093467,0.00244584846060614,-1.25000707469785
"ZDHHC18",-0.44927,9.99523166666667,-4.69209908733325,0.000646084969044115,0.00244639411077138,-1.25045124800914
"IFT52",0.411766666666667,10.5427833333333,4.69172094658648,0.00064648279111006,0.00244740841965163,-1.25109588319488
"NME4",0.332733333333334,11.8921666666667,4.69128874265378,0.000646937805829613,0.00244863879320638,-1.25183270396799
"SMAD5",-0.324433333333333,10.9938833333333,-4.6908901747089,0.000647357707924433,0.00244973579888462,-1.25251220238384
"HINFP",0.328340000000001,9.48083,4.69057617731179,0.000647688714568647,0.00245049603258053,-1.2530475344048
"MRPL1",-0.537200000000001,8.17009333333333,-4.68896220784872,0.000649392924655922,0.00245645036010637,-1.25579937004441
"ELAC1",0.405490000000003,7.93045833333333,4.68756807207457,0.000650868806781598,0.00246153877649089,-1.25817664296658
"ZNF519",-0.488003333333333,5.99940833333333,-4.68697235176075,0.000651500533267661,0.00246343325508194,-1.25919253445763
"RNGTT",-0.421953333333331,9.37679,-4.68406596131204,0.000654591852667375,0.00247462524149686,-1.26414947027101
"EPG5",0.46654666666667,8.22996333333333,4.68360076966531,0.00065508807438395,0.0024760041727769,-1.264942964212
"POLR3A",-0.383870000000002,9.91147166666667,-4.68213931752483,0.000656649586774876,0.00248140816960634,-1.26743598680264
"NEMP2",-0.435533333333332,8.32688333333333,-4.6810032623842,0.000657866127822729,0.00248550665023336,-1.26937410980319
"NES",-0.388546666666665,8.56853,-4.6808341668548,0.000658047405825812,0.00248569290840821,-1.26966260214998
"TERT",-0.327486666666664,8.13045666666667,-4.67861680186293,0.00066042938845747,0.00249419031526128,-1.27344595077988
"ADAMTS6",0.422800000000001,7.19094333333333,4.67846948999708,0.000660587957710508,0.00249428901273451,-1.27369732084746
"BNC2",0.411053333333335,10.1374733333333,4.67673426118539,0.000662458807359993,0.00250085170932413,-1.27665847999693
"TTC33",0.42554,8.52601333333333,4.67612578098458,0.0006631161637432,0.00250283162884558,-1.27769693516545
"ZNF442",0.381463333333335,7.83772833333333,4.67545742937081,0.000663838991410251,0.00250505781691458,-1.27883762106053
"SYNRG",0.352499999999999,10.8327833333333,4.67183070828267,0.000667775794742566,0.00251911027561136,-1.28502834860687
"CCT7",-0.323400000000001,12.4876666666667,-4.67178056944893,0.000667830392169879,0.00251911027561136,-1.285113945623
"SPAG16",0.358676666666668,7.921725,4.67165563004386,0.000667966462231649,0.00251911901274948,-1.2853272435025
"TMEM101",0.458586666666667,8.7653,4.669032041763,0.000670830526606414,0.00252930440182808,-1.28980669935709
"THAP9",0.368579999999999,7.15189333333333,4.66893583522954,0.000670935796513384,0.00252930440182808,-1.28997097612862
"SLC1A4",-0.375373333333334,9.65424666666667,-4.66796076585485,0.000672003705530867,0.00253282325194484,-1.2916360122156
"MAPK8IP3",0.322110000000002,9.00761166666667,4.66699417329939,0.000673064095037226,0.00253631235812948,-1.29328668713888
"SDAD1",-0.360426666666667,10.2465533333333,-4.66638534101772,0.000673732910758139,0.0025383247932024,-1.29432646386301
"NELFCD",-0.334733333333332,11.9951666666667,-4.66524156796137,0.000674991261214633,0.00254225454915015,-1.29627994543501
"MAP3K4",0.370153333333338,9.66823,4.6651244341925,0.000675120268294136,0.00254225454915015,-1.29648001039035
"PIGT",0.311966666666667,11.8587166666667,4.66497549255344,0.000675284344907852,0.00254225454915015,-1.29673440572121
"SPATA6",0.383456666666667,10.110605,4.66494685985788,0.000675315891971871,0.00254225454915015,-1.29678331125247
"ZDHHC4",0.339033333333335,11.4125166666667,4.6638768162784,0.000676495961439372,0.00254618803712013,-1.29861105013125
"LEKR1",0.427663333333334,6.394385,4.66281826670138,0.000677665488845927,0.00255008028310174,-1.30041929273188
"EMC6",-0.405479999999999,8.86815,-4.66177606951005,0.000678819026759079,0.00255391081701568,-1.30219973443953
"ENTHD1",0.372340000000001,5.37036333333333,4.66107933556639,0.000679591346099598,0.00255630585429196,-1.30339007604372
"ERI2",-0.428086666666665,9.35192,-4.66026058709519,0.000680500097764521,0.00255921302741553,-1.30478894966343
"ZNF329",0.474576666666666,8.10457833333333,4.65930787388417,0.000681559149352794,0.00256268417227201,-1.3064168110918
"DRG1",-0.313899999999999,11.19115,-4.65917098619171,0.000681711458287332,0.00256274523061549,-1.30665071442756
"ASB8",0.358066666666668,12.1175666666667,4.65762694512658,0.000683431925791427,0.00256870023754854,-1.3092892121196
"STAMBP",0.351033333333335,11.2867833333333,4.65647773865146,0.000684715407079289,0.00257301076953937,-1.31125319344412
"ZNF564",0.415673333333334,8.84172333333333,4.65620413036881,0.000685021357489969,0.00257364696727829,-1.31172081056304
"C12orf45",-0.437629999999997,8.53139833333333,-4.6551572059199,0.000686193362549489,0.00257753605709156,-1.31351016674246
"COX8A",0.335266666666664,12.4338666666667,4.65475295726581,0.000686646472595293,0.00257872376168689,-1.31420112583222
"PSMA3",-0.424733333333332,10.7998666666667,-4.65284854386706,0.000688785307600359,0.00258624052698269,-1.317456496432
"PPA1",-0.361176666666671,9.85306833333333,-4.65220985309463,0.000689504184885229,0.00258842372296759,-1.31854836130039
"GOLGA2",0.309266666666666,8.86959666666667,4.65122481243193,0.000690614442577872,0.0025920750122582,-1.32023242039237
"ZCCHC14",0.425249999999998,9.42754833333333,4.65079767839451,0.000691096457396952,0.00259336733983148,-1.32096269973069
"ADCYAP1R1",-0.338473333333331,6.11232333333333,-4.64980014372406,0.000692223539516665,0.00259707931140575,-1.3226682898898
"CFAP20",-0.356466666666668,10.9645,-4.64917169001327,0.000692934601139881,0.00259922929254501,-1.32374288511982
"LRRC39",0.699000000000002,6.77158,4.64884758649665,0.000693301606956275,0.00260008810541905,-1.32429708950596
"ZBTB11-AS1",0.397213333333337,8.99440333333333,4.64863406857586,0.000693543500375761,0.0026004774608953,-1.32466220375909
"ZNF791",0.313499999999999,10.6534833333333,4.64652534664226,0.000695937232082082,0.00260893348507841,-1.32826839996087
"HEBP2",0.339066666666671,11.3825333333333,4.64637685113714,0.000696106124916043,0.00260904731475995,-1.32852236732841
"RBBP6",-0.346066666666662,10.5548666666667,-4.64554068797302,0.000697057948166865,0.00261209498523174,-1.32995248152169
"CASP8AP2",-0.438233333333331,8.89316666666667,-4.64369684814713,0.000699161670673411,0.00261945711268411,-1.33310635229973
"PSMB2",-0.316866666666664,12.6116,-4.6435346990604,0.000699346993118021,0.00261963032386333,-1.33338372639702
"KRT8",0.372066666666671,9.9316,4.64337443068499,0.000699530216817412,0.00261979560619191,-1.33365788644099
"FIGN",0.425650000000001,9.08956166666667,4.64294229730913,0.00070002449639976,0.00262081136755367,-1.33439712259191
"DAZAP2",0.3157,12.5655833333333,4.64289401171637,0.000700079748867077,0.00262081136755367,-1.33447972454209
"RAD23B",-0.314933333333332,10.9218666666667,-4.64251764938891,0.000700510571701724,0.00262161830779012,-1.3351235755392
"SLC22A18AS",-0.361963333333334,6.703395,-4.64246252729603,0.000700573693485593,0.00262161830779012,-1.33521787550236
"AKR1B10",0.622443333333333,5.58455833333333,4.64168042344163,0.000701469946100692,0.00262377960853129,-1.33655589687357
"G3BP2",-0.32496666666667,11.11075,-4.64164619960213,0.00070150919245564,0.00262377960853129,-1.33661444861725
"EFCAB2",0.478643333333334,8.435045,4.64147646263237,0.000701703873270054,0.00262377960853129,-1.33690484464028
"ENDOD1",0.460839999999997,9.30248666666667,4.64147242935146,0.000701708499956043,0.00262377960853129,-1.33691174505745
"GAD1",0.583626666666667,7.12674333333333,4.64025791156858,0.000703103166075467,0.00262817131621975,-1.33898971554263
"PRRG4",0.419723333333334,7.02856833333333,4.64020663337501,0.000703162114390534,0.00262817131621975,-1.33907745350691
"QARS",0.312233333333333,12.81765,4.63969482931277,0.000703750758181365,0.00262954645400994,-1.33995317733301
"SLC39A3",-0.387500000000001,8.25210666666667,-4.63964398541178,0.000703809263813535,0.00262954645400994,-1.34004017565887
"UGT8",0.404480000000005,9.80737666666667,4.63926051887881,0.000704250680127809,0.00263067380196889,-1.34069633018786
"WDFY2",-0.394223333333333,9.17248166666667,-4.63818454106077,0.000705490815225658,0.00263478366328773,-1.34253754417996
